USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               332 234.0 11.9 412580800 750672   ??  Rs    6:50PM  10:23.97 /Applications/Kaspersky Anti-Virus For Mac.app/Contents/MacOS/kavd.app/Contents/MacOS/kavd -r -bl
root              2369  23.5  0.4 411102464  26656 s000  S+    7:03PM   0:00.16 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python collector-macOSv2.py
developer         2380   4.6  0.1 426846112   3536   ??  S     7:03PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
root                 1   4.3  0.3 426853152  16768   ??  Ss    6:50PM   0:07.55 /sbin/launchd
developer         2146   3.9  2.2 412051200 139616   ??  S     6:57PM   0:18.47 /Applications/Kaspersky Anti-Virus For Mac.app/Contents/MacOS/kav_app
root               118   3.0  0.8 426943952  48752   ??  Rs    6:50PM   0:04.95 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
root               129   2.8  0.3 426923296  17456   ??  Ss    6:50PM   0:04.53 /usr/libexec/opendirectoryd
developer          594   2.4  2.6 411623664 162240   ??  S     6:50PM   0:16.03 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
_trustd            171   1.8  0.2 426924736  13248   ??  Ss    6:50PM   0:17.51 /usr/libexec/trustd
root               153   1.4  0.0 426883424   3024   ??  Rs    6:50PM   0:01.33 /usr/sbin/notifyd
developer          525   1.3  0.1 426885776   5968   ??  R     6:50PM   0:02.07 /usr/sbin/cfprefsd agent
_windowserver      164   1.3  1.1 411585552  70432   ??  Ss    6:50PM   0:41.97 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
root                94   1.0  0.1 426888112   6304   ??  Ss    6:50PM   0:01.88 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
developer         1992   0.9  1.6 411439936 101520   ??  S     6:55PM   0:02.51 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
developer         2358   0.7  0.4 426936096  26640   ??  R     7:02PM   0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
root               160   0.6  0.1 426884368   5488   ??  Ss    6:50PM   0:01.73 /usr/sbin/cfprefsd daemon
root                90   0.6  0.4 427009648  23440   ??  Rs    6:50PM   0:02.99 /usr/libexec/logd
root               320   0.4  1.6 432345776 102512   ??  Ss    6:50PM   0:07.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root               163   0.3  0.2 426924048  13168   ??  Rs    6:50PM   0:01.17 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               121   0.3  0.1 426917280   6704   ??  Ss    6:50PM   0:00.58 /usr/libexec/diskarbitrationd
developer          585   0.1  0.4 411220848  22544   ??  S     6:50PM   0:02.16 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
root              2015   0.0  0.1 426884736   4704   ??  Ss    6:56PM   0:00.05 /usr/libexec/ASPCarryLog
developer         2003   0.0  0.1 410754016   5568   ??  S     6:55PM   0:00.05 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
developer         1999   0.0  0.2 411180752  10448   ??  Ss    6:55PM   0:00.12 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
developer         1994   0.0  0.1 410884544   3632 s000  S     6:55PM   0:00.07 -zsh
root              1993   0.0  0.1 410752896   4368 s000  Ss    6:55PM   0:00.02 login -pf developer
root              1966   0.0  0.1 410261664   3312   ??  Ss    6:54PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
_diskimagesiod    1947   0.0  0.2 426955936  15232   ??  Ss    6:54PM   0:00.07 /usr/libexec/diskimagesiod
developer         1945   0.0  0.1 426917920   7680   ??  Ss    6:54PM   0:00.05 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
developer         1906   0.0  0.1 426918128   7664   ??  S     6:54PM   0:00.07 /System/Library/CoreServices/ScopedBookmarkAgent
developer         1904   0.0  0.1 426918896   9120   ??  S     6:54PM   0:00.04 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
_nsurlsessiond    1900   0.0  0.1 410883904   3200   ??  Ss    6:53PM   0:00.04 /System/Library/PrivateFrameworks/StreamingZip.framework/Versions/A/XPCServices/com.apple.StreamingUnzipService.privileged.xpc/Contents/MacOS/com.apple.StreamingUnzipService.privileged
root              1899   0.0  0.2 426918576  10640   ??  Ss    6:53PM   0:00.34 /usr/libexec/audioanalyticsd
_fpsd             1898   0.0  0.2 426899680  13648   ??  Ss    6:53PM   0:00.16 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
_audiomxd         1897   0.0  0.2 426918064   9584   ??  Ss    6:53PM   0:00.10 /usr/libexec/audiomxd
root              1891   0.0  0.0 426953568   3040   ??  Ss    6:53PM   0:00.18 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
developer         1890   0.0  0.2 426919456  14480   ??  S     6:53PM   0:00.09 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
developer         1886   0.0  0.2 426922528  11056   ??  S     6:53PM   0:00.05 /usr/libexec/keyboardservicesd
developer         1885   0.0  0.1 426916400   5552   ??  S     6:53PM   0:00.05 /usr/libexec/naturallanguaged
developer         1884   0.0  0.5 427036400  29408   ??  S     6:53PM   0:00.23 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
developer         1883   0.0  0.1 431243072   6832   ??  S     6:53PM   0:00.07 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/reversetemplated
developer         1879   0.0  0.2 426937776  10688   ??  S     6:53PM   0:00.20 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
_rmd              1870   0.0  0.1 410753904   4480   ??  Ss    6:52PM   0:00.04 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
_rmd              1869   0.0  0.1 410753232   4048   ??  Ss    6:52PM   0:00.04 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
_rmd              1868   0.0  0.1 410753856   5728   ??  Ss    6:52PM   0:00.04 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SoftwareUpdateSubscriber.xpc/Contents/MacOS/SoftwareUpdateSubscriber
developer         1867   0.0  0.3 426922144  17344   ??  S     6:52PM   0:00.27 /System/Library/Frameworks/Contacts.framework/Support/contactsd
_rmd              1866   0.0  0.1 410753264   4128   ??  Ss    6:52PM   0:00.03 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber
_rmd              1865   0.0  0.1 410753280   4144   ??  Ss    6:52PM   0:00.03 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
_rmd              1864   0.0  0.1 410753248   4128   ??  Ss    6:52PM   0:00.03 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
_rmd              1860   0.0  0.1 410753760   6208   ??  Ss    6:52PM   0:00.04 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
_rmd              1859   0.0  0.1 410753232   4176   ??  Ss    6:52PM   0:00.03 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
_rmd              1858   0.0  0.0 426883168   1840   ??  S     6:52PM   0:00.03 /usr/sbin/distnoted agent
_rmd              1857   0.0  0.1 410753296   4112   ??  Ss    6:52PM   0:00.04 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
root              1856   0.0  0.1 410754128   3248   ??  Ss    6:52PM   0:00.02 /usr/libexec/online-auth-agent
_rmd              1855   0.0  0.1 426918896   6832   ??  Ss    6:52PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
developer         1854   0.0  0.2 426924208  11488   ??  S     6:52PM   0:00.15 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
developer         1757   0.0  0.1 426917792   9392   ??  S     6:52PM   0:00.11 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
developer         1243   0.0  0.0 426879808   1632   ??  S     6:51PM   0:00.01 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fudHelperAgent
root              1223   0.0  0.1 426917168   7072   ??  Ss    6:51PM   0:00.06 /usr/libexec/triald_system
developer         1221   0.0  0.3 426927760  18912   ??  Ss    6:51PM   0:00.06 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
developer         1220   0.0  0.2 426928576   9968   ??  Ss    6:51PM   0:00.04 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
developer         1218   0.0  0.1 426884384   4736   ??  Ss    6:51PM   0:00.03 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer         1217   0.0  0.4 410788320  23856   ??  Ss    6:51PM   0:00.23 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
developer         1216   0.0  0.1 426884208   4432   ??  S     6:51PM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
_fpsd             1199   0.0  0.1 426921808   5472   ??  Ss    6:51PM   0:00.11 /usr/libexec/fairplaydeviceidentityd
developer         1198   0.0  0.1 426918480   8832   ??  S     6:51PM   0:00.08 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
developer         1197   0.0  0.2 426919136  12736   ??  S     6:51PM   0:00.10 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
developer         1196   0.0  0.1 426917840   6608   ??  S     6:51PM   0:00.09 /usr/libexec/diagnosticextensionsd
developer         1195   0.0  0.5 410699184  34080   ??  S     6:51PM   0:01.09 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
developer         1194   0.0  0.2 426920640  11744   ??  S     6:51PM   0:00.13 /usr/libexec/adprivacyd
developer         1192   0.0  0.2 426925776  11904   ??  S     6:51PM   0:00.28 /usr/libexec/promotedcontentd
root              1191   0.0  0.0 410753792   2768   ??  Ss    6:51PM   0:00.03 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
_installcoordinationd  1190   0.0  0.1 426884112   4352   ??  Ss    6:51PM   0:00.04 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
developer         1189   0.0  0.0 410261664   2384   ??  Ss    6:51PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer         1188   0.0  0.0 410261664   2384   ??  Ss    6:51PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer         1187   0.0  0.1 410623104   4176   ??  Ss    6:51PM   0:00.05 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
developer         1186   0.0  0.0 410261664   2384   ??  Ss    6:51PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer         1185   0.0  0.1 426922464   8800   ??  S     6:51PM   0:00.09 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
developer         1184   0.0  0.1 410623104   4176   ??  Ss    6:51PM   0:00.05 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
developer         1181   0.0  0.1 410306080   8752   ??  Ss    6:51PM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/A/PlugIns/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-US")
developer         1180   0.0  0.0 410753456   2816   ??  Ss    6:51PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
developer         1179   0.0  0.0 34106236    852   ??  Ss    6:51PM   0:00.54 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_x86_64.appex/Contents/MacOS/WardaSynthesizer_x86_64 -AppleLanguages ("en-US")
developer         1176   0.0  0.1 410437744   6672   ??  Ss    6:51PM   0:00.05 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_arm64.appex/Contents/MacOS/WardaSynthesizer_arm64 -AppleLanguages ("en-US")
developer         1177   0.0  0.0 410261664   2384   ??  Ss    6:51PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer         1175   0.0  0.0 410261664   2384   ??  Ss    6:51PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer         1174   0.0  0.0 410261664   2384   ??  Ss    6:51PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
developer         1173   0.0  0.2 410439280  12144   ??  Ss    6:51PM   0:00.10 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-US")
developer         1172   0.0  0.2 410570416  11040   ??  Ss    6:51PM   0:00.13 /System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-US")
developer         1164   0.0  0.2 426927408  14320   ??  S     6:51PM   0:00.31 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
developer         1170   0.0  0.1 410174960   9072   ??  Ss    6:51PM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeech.framework/PlugIns/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-US")
_neuralengine     1168   0.0  0.1 426917920   6352   ??  Ss    6:51PM   0:00.05 /usr/libexec/aneuserd
root              1169   0.0  0.1 426883760   4560   ??  Ss    6:51PM   0:00.03 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
root              1167   0.0  0.1 426883760   4592   ??  Ss    6:51PM   0:00.03 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
developer         1166   0.0  0.1 426879680   3760   ??  S     6:51PM   0:00.02 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
root              1165   0.0  0.1 426917920   6416   ??  Ss    6:51PM   0:00.05 /usr/libexec/aned
root              1163   0.0  0.0 426891488   2816   ??  Ss    6:51PM   0:00.05 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
root              1162   0.0  0.1 426884880   3440   ??  Ss    6:51PM   0:00.03 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
developer         1156   0.0  0.0 410130608   2160   ??  Ss    6:51PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.ComponentTagHelper.xpc/Contents/MacOS/com.apple.audio.ComponentTagHelper
_assetcache       1155   0.0  0.1 426919872   6784   ??  Ss    6:51PM   0:00.07 /usr/libexec/AssetCache/AssetCache
developer         1154   0.0  0.2 427033184  12256   ??  S     6:51PM   0:00.35 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
_assetcache       1153   0.0  0.1 426919536   6880   ??  Ss    6:51PM   0:00.09 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
developer         1152   0.0  0.1 426917536   9008   ??  S     6:51PM   0:00.26 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
root              1151   0.0  0.0 426883200   2448   ??  Ss    6:51PM   0:00.01 /System/Library/CoreServices/CrashReporterSupportHelper server-init
developer         1150   0.0  0.1 411049776   8512   ??  Ss    6:51PM   0:00.09 /System/Library/PrivateFrameworks/StocksKit.framework/XPCServices/StocksKitService.xpc/Contents/MacOS/StocksKitService
developer         1149   0.0  0.1 426883792   5488   ??  S     6:51PM   0:00.06 /usr/libexec/gamecontrolleragentd
root              1146   0.0  0.2 411016848  10192   ??  Ss    6:51PM   0:00.12 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
developer         1148   0.0  0.1 426917136   8000   ??  S     6:51PM   0:00.11 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
developer         1147   0.0  0.1 426922752   8624   ??  S     6:51PM   0:00.06 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
_gamecontrollerd  1145   0.0  0.0 426883168   1824   ??  S     6:51PM   0:00.04 /usr/sbin/distnoted agent
developer         1144   0.0  0.1 426917392   8048   ??  S     6:51PM   0:00.07 /usr/libexec/inputanalyticsd
developer          890   0.0  0.1 426918016   3840   ??  S     6:51PM   0:00.47 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
root               882   0.0  0.0 426883856   2832   ??  S     6:51PM   0:00.04 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
developer          770   0.0  0.1 426918048   6784   ??  S     6:51PM   0:00.07 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
developer          772   0.0  0.1 426917792   4672   ??  S     6:51PM   0:00.08 /usr/libexec/MTLAssetUpgraderD
developer          722   0.0  0.1 426918480   8944   ??  S     6:51PM   0:00.13 /System/Library/CoreServices/diagnostics_agent
developer          675   0.0  0.3 426919200  15808   ??  S     6:51PM   0:02.30 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
root               664   0.0  0.1 426917664   4448   ??  Ss    6:50PM   0:00.07 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
developer          717   0.0  0.2 426918752   9712   ??  S     6:51PM   0:00.08 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
root               805   0.0  0.1 426918336   6560   ??  Ss    6:51PM   0:00.10 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
developer          724   0.0  0.2 426934960  12720   ??  S     6:51PM   0:00.49 /usr/libexec/remindd
root               804   0.0  0.1 411208592   9088   ??  Ss    6:51PM   0:00.13 /Applications/OneDrive.app/Contents/StandaloneUpdaterDaemon.xpc/Contents/MacOS/StandaloneUpdaterDaemon
_applepay          802   0.0  0.1 426885872   7024   ??  Ss    6:51PM   0:00.11 /usr/libexec/nfcd
developer          801   0.0  0.3 426926688  18960   ??  S     6:51PM   0:00.55 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
developer          800   0.0  0.1 426922640   9392   ??  S     6:51PM   0:00.33 /System/Library/Frameworks/FinanceKit.framework/financed
developer          799   0.0  0.1 426888336   3856   ??  Ss    6:51PM   0:00.44 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
developer          677   0.0  0.4 426935088  24320   ??  S     6:51PM   0:00.83 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
developer          794   0.0  0.2 410876224  13440   ??  Ss    6:51PM   0:02.25 /System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension
developer          793   0.0  0.1 426884384   4752   ??  Ss    6:51PM   0:00.03 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer          792   0.0  0.1 426884400   4096   ??  S     6:51PM   0:00.13 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
developer          789   0.0  0.1 426917488   7264   ??  S     6:51PM   0:00.09 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
developer          784   0.0  0.5 427077392  32528   ??  S     6:51PM   0:00.17 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
developer          776   0.0  0.4 426919584  22192   ??  S     6:51PM   0:01.87 /usr/libexec/siriknowledged
developer          775   0.0  0.1 410753216   4128   ??  S     6:51PM   0:00.12 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
developer          774   0.0  0.4 426958192  25584   ??  S     6:51PM   0:02.01 /usr/libexec/duetexpertd
developer          773   0.0  0.2 426919856  12304   ??  S     6:51PM   0:01.78 /usr/libexec/swcd
developer          753   0.0  0.1 410786736   4272   ??  Ss    6:51PM   0:00.03 /System/Library/PrivateFrameworks/AppleVirtualPlatform.framework/Versions/A/XPCServices/AppleVirtualPlatformIdentityService.xpc/Contents/MacOS/com.apple.Virtualization.AppleVirtualPlatformIdentity
developer          752   0.0  0.1 411179952   4528   ??  Ss    6:51PM   0:00.04 /System/Library/PrivateFrameworks/AppleVirtualPlatform.framework/Versions/A/XPCServices/AppleVirtualPlatformIdentityService.xpc/Contents/MacOS/com.apple.Virtualization.AppleVirtualPlatformIdentity
developer          751   0.0  0.1 426917040   7136   ??  S     6:51PM   0:00.10 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
_fpsd              750   0.0  0.0 426887120   2064   ??  Ss    6:51PM   0:00.06 /System/Library/PrivateFrameworks/CoreADI.framework/adid
developer          748   0.0  0.2 426921088  11760   ??  S     6:51PM   0:00.24 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
developer          747   0.0  0.2 426917424  11408   ??  S     6:51PM   0:00.38 /System/Library/Frameworks/Translation.framework/translationd
developer          744   0.0  0.2 426917104  10272   ??  S     6:51PM   0:00.12 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
developer          742   0.0  0.2 427082880  14928   ??  S     6:51PM   0:00.24 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
